"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","48.998468203459","47.7144120611636","44.3904661555113","40.9638885312869","42.2215765701582","43.0944727341396","48.1515396730538","44.479208418933","42.8483189999501","41.988635438658","49.369261932485","49.2322991134255","50.6934006101151","50.1711936095477","55.2063724702103","58.6394172184291","58.6609447347049","57.9985081622226","70.8913464659983","63.2154495831767","63.0670389976156","67.7077965581118","80.2940260993047","78.5905477162847","85.4963326758707","88.5395857367626","97.4255552375506","96.2129821907275","94.2115825605594","92.8815840586172","91.2603515221885","90.3456531375564","91.0960298965074","97.3261793575701","99.7127465742706","96.979976984441","99.8219927314404","95.6806201478419","94.6594829138809","86.9807001170471","91.2893524475595","89.2047566291982","",
"Australia","AUS","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","44.6153846153846","44.1822429906542","47.1067447359532","48.1264319933347","48.6026674207079","46.8293104192754","47.9973714473468","46.9342716085771","46.7480371652895","45.6613465419189","42.5985726303221","42.3314481321625","45.9135869076522","49.8038072647597","44.8714162463499","45.8207088451053","43.9631640915972","40.3427566251015","40.8170112181778","40.3050081374856","40.5400117539409","39.3590855910925","37.7112872550024","39.6452153502117","39.2693248601074","42.0489249782953","41.5969873962496","43.9620171643776","45.7266355861558","52.7955464981185","54.1766227977863","53.4121314038381","56.2724545497586","56.6838307133675","59.3358936097579","60.6394162772688","62.8960669561542","64.1282460187541","65.6556224568396","69.5504861958813","67.6753587261158","70.3976201376892","70.4369007225626","74.795376632958","77.5209824973549","78.5180686595318","83.6305363143111","90.6741369796671","97.9178489092366","94.4157901952323","100.699225270778","99.8651676909465","101.280848891726","105.521229915263","108.546130450336","113.195474716442","118.11572220906","116.252814910711","113.463343846349","",
"Austria","AUT","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5942200369287","54.8495885350318","55.9175834000534","12.3152709813478","11.260336390251","13.7784694930817","10.7290918594431","11.740901202216","16.2908235115195","12.9316251296911","12.9799509806046","14.2847604413775","17.6535586582497","14.6833526495037","18.3235363268822","20.7939232417976","21.1629793146757","23.7888372455655","24.790979277664","26.6947809784571","30.6433467346745","33.1542970168781","36.544870094774","39.2034769209693","34.571996388808","32.375295290754","30.1519266025876","",
"Burundi","BDI","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","10.2780437882096","10.3390184268591","9.47058660993065","10.4935581052497","10.5321272613849","10.5485789821547","10.4976199556478","12.3496521829531","12.3998629337729","12.8630143173298","13.5942183563508","10.7197905449632","13.937469619088","13.8867896960522","16.0685575279086","13.5416977282118","11.9132012651102","14.7268449403881","13.3667068757539","15.7213534940094","13.7867158609134","14.3033770201238","14.4885970218876","14.4595290549627","15.3918691268985","15.7366345484687","15.7785308286654","17.0356020349413","16.9075357682664","17.73312870522","23.0052066694014","19.8036143636716","22.3323071075637","18.5863768961494","15.7858820589705","20.4737373737374","17.1728550609034","17.2257816352167","21.2523406830438","24.0243463141909","22.3254125001561","23.2228639248364","26.2748698373922","24.619613407841","25.2588848848775","25.7904621883825","28.2427285653968","26.8059036233174","26.0636429269626","25.8819357377049","26.4537554250312","22.6726830420881","24.2409090602787","27.3380913418029","33.1974121269151","",
"Belgium","BEL","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","10.0984227496191","9.74019120072477","9.27200522731756","8.65644974757793","8.68020583584401","8.3896528940014","9.03497239512663","9.94748829903864","10.8744985208416","13.2911326846449","13.4380939040155","13.1524673555089","13.8186461122711","21.9623329383415","18.3545556202394","18.949162632634","18.6150722240255","16.1454713139609","20.4381268862195","21.5016638928642","23.6289007091442","23.2390993858367","24.3230997346458","23.7590663684299","23.5880474072087","20.6179375936953","20.2786268126816","21.7409745379421","25.1156071155851","26.4678661692991","29.6220981137924","26.4909358895432","28.4413709645636","22.873627302817","23.1801804966157","22.1286084617254","19.5070336084605","22.9959326127649","26.2255904220424","24.5973838245025","20.0096852982621","22.9433165917702","19.1792564423954","21.1285729125824","25.3307373888848","28.3046370702705","31.7981268573413","32.7352497636491","34.882234906546","35.7225334297231","34.0074967779148","36.7091175997807","40.9528566680569","42.5414230364789","41.1059352856548","39.2315985592398","38.4778638028835","",
"Burkina Faso","BFA","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","5.9355351399503","6.32856284125765","6.23632650601526","6.18484782044443","6.21028515606872","5.99715628376444","6.66290295259899","7.00344596564452","7.39043129779654","7.47393196531676","7.26433316160531","9.63166624627252","9.69738479181372","12.0735706867007","13.5215265964661","12.7997737930624","12.7682604922297","12.4326613880456","13.0596613958314","13.203959628781","12.3809399275924","13.1284761577389","14.5424622404988","13.3803705671313","16.193478613476","17.9033210645973","19.0832577811735","18.4877964309622","18.1784041666066","18.1305668248272","18.7615381720288","19.8654620062825","22.1304757143247","23.9702848549793","22.6304264307343","24.6756491490467","21.5261861392885","19.6813690401319","20.9519904823892","18.4534003031196","16.5159605417454","25.5247348066909","23.3488084684525","20.2042878376043","21.1160125311345","21.3639944752235","23.4867392317944","27.4995741523684","28.8218237040488","28.9758100407654","29.723640318907","31.8230322265285","34.0753687252836","40.4078099208814","43.1490936125976","46.9070493599532","47.3701328995757","",
"Bangladesh","BGD","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","13.7283185562234","8.35372754425218","11.4180637610575","14.2546768180605","13.3864442139578","13.906028173072","14.1968893463496","14.0728965183752","14.0575732190524","17.5057063846976","21.104559839838","19.5926033985971","20.1979115796951","20.8107917938397","21.484808836741","22.878190439802","22.4466391322843","24.0087114615132","24.8676501147129","26.2049500333029","28.9521640750639","28.827915737296","25.6338800863882","25.9368786504287","26.2325061615944","27.8851595216238","30.5539892604712","40.2671476674779","42.740177242997","43.9885771769768","45.6229943594212","47.4210681471904","50.4759985553139","50.2819117580457","51.1876270713566","54.8817155926531","58.7459016095395","59.8117683130297","60.7424608277603","61.3999142957444","63.3375540979273","64.5065520747659","65.8482815644091","65.6861026274117","64.3048438614832","",
"Bulgaria","BGR","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5305821665439","76.3899402390438","78.9678822348612","79.7028158295281","46.4097326287562","60.7754301794529","31.540592998775","25.2686377080466","30.3028466645488","35.2932060527503","40.3733233878573","41.2581491471979","46.1149169204026","50.8506496047585","54.1459990139547","60.2441604611878","66.3243571158452","62.9777653771034","65.3985358815881","67.8615458070142","70.4836364987184","75.2332996913716","82.1304667011132","81.1956397153637","83.5079457906954","84.5574418357591","84.8427542865626","86.4047910916161","",
